"","state","census_bureau_pop_2019","covid.death.hybrid","covid.track.death","covid.death.hybrid.rate","Excess P&I&C","pct.unattrib.pic"
"1","AK",731545,8,9,1.09357592492601,8,1
"2","AL",4903185,330,212,6.73031917009046,399,0.827067669172932
"3","AR",3017804,53,47,1.75624394427206,109,0.486238532110092
"4","AZ",7278717,377,266,5.17948424152223,452,0.834070796460177
"5","CA",39512223,1927,1651,4.87697186766738,2222,0.867236723672367
"6","CO",5758736,838,674,14.5518044237485,848,0.988207547169811
"7","DC",705749,199,165,28.1969935486979,205,0.970731707317073
"8","DE",973764,126,112,12.9394802025953,137,0.91970802919708
"9","FL",21477737,1305,1075,6.07605913043818,1734,0.752595155709343
"10","GA",10617423,1008,904,9.49382915232821,1145,0.880349344978166
"11","HI",1415872,13,13,0.918162093748587,16,0.8125
"12","IA",3155070,133,112,4.21543737539896,130,1
"13","ID",1787065,59,54,3.30150274332495,63,0.936507936507937
"14","IL",12671821,2089,1874,16.4853970080543,2239,0.933005806163466
"15","IN",6732219,1024,785,15.2104380442763,1035,0.989371980676328
"16","KS",2913314,136,117,4.66822319873519,130,1
"17","KY",4467673,248,200,5.55098817661901,248,1
"18","LA",4648794,1627,1644,34.998324296581,1650,0.986060606060606
"19","MA",6892503,3176,2877,46.0790513983091,3147,1
"20","MD",6045680,990,948,16.3753291606569,1074,0.921787709497207
"21","ME",1344212,49,50,3.64525833722657,15,1
"22","MI",9986857,3454,3929,34.5854556643797,3460,0.998265895953757
"23","MN",5639632,302,244,5.35495933067973,318,0.949685534591195
"24","MO",6137428,366,273,5.96341007992273,451,0.811529933481153
"25","MS",2976149,259,221,8.70252127833654,308,0.840909090909091
"26","MT",1068778,18,14,1.68416640312581,21,0.857142857142857
"27","ND",762062,13,16,1.70589794531154,52,0.25
"28","NE",1934408,61,50,3.15341954747913,56,1
"29","NH",1359711,63,53,4.63333752540062,74,0.851351351351351
"30","NJ",8882190,8105,5863,91.2500182950376,8261,0.981116087640721
"31","NM",2096829,96,84,4.57834186764872,109,0.880733944954128
"32","NV",3080156,219,204,7.11002949201274,257,0.852140077821012
"33","NY",11050100,6635,16599,60.0447054777785,6361,1
"34","OH",11689100,873,711,7.46849629141679,1007,0.866931479642503
"35","OK",3956971,225,194,5.68616752561492,257,0.875486381322957
"36","OR",4217737,132,87,3.12964037349887,141,0.936170212765957
"37","PA",12801989,2802,1537,21.8872239305939,2776,1
"38","RI",1059361,257,215,24.259907623558,238,1
"39","SC",5148714,223,166,4.33117862052544,203,1
"40","SD",884659,16,10,1.80860648001094,10,1
"41","TN",6829174,195,178,2.85539656772547,254,0.767716535433071
"42","TX",28995881,820,623,2.82798787869215,1219,0.672682526661198
"43","UT",3205958,43,41,1.34125275502673,64,0.671875
"44","VA",8535519,562,436,6.5842510572585,567,0.991181657848324
"45","VT",623989,39,46,6.2501101782243,42,0.928571428571429
"46","WA",7614893,725,660,9.52081664180968,757,0.95772787318362
"47","WI",5822434,311,266,5.34140876478806,336,0.925595238095238
"48","WV",1792147,50,32,2.78994970836656,49,1
"49","WY",578759,3,7,0.518350470575835,27,0.111111111111111
